designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 65228462895836544",65228462895836544,56.55401436064553,24.156057965902228,1.6611169268747537,-0.8538877235095536,1.5230396544473621,1.0738331,16.961042,1.8154793,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4103.68,4.7402,-0.5155,492.1135,0.7662,0.5536,0.2969
"Gaia DR3 65228772133391488",65228772133391488,56.491372159992444,24.14454409490353,7.56224918935397,20.64192353731954,-47.49822521472331,1.0240954,17.9169,3.3296375,,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,3118.7593,4.9917,-0.0162,138.9905,1.231,0.737,0.5221
"Gaia DR3 65229184450247296",65229184450247296,56.519106151072684,24.165368569020757,7.497115632105594,18.937810788453277,-44.62061805868336,1.0340664,17.291239,3.2110767,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,3185.717,4.9401,0.0597,138.4984,1.0961,0.6668,0.4666
"Gaia DR3 65229321889199104",65229321889199104,56.541768642865875,24.182366886263775,0.7840941527269795,0.681390761385868,-7.519389664764058,0.96885747,15.475613,1.1538477,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,5880.554,4.3689,-0.4803,1021.4891,0.9288,0.7622,0.4145
"Gaia DR3 65229596767104640",65229596767104640,56.51352531427976,24.20770147461048,1.583753325755368,9.713353125375939,-12.756341166136394,0.9514783,15.685576,1.4039125,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4581.9873,4.3905,-1.0552,687.1713,0.477,0.367,0.1971
"Gaia DR3 65229734206151680",65229734206151680,56.605873089025955,24.159918691152065,7.190575194590559,16.920655845873043,-48.014606877582516,2.6216292,14.781489,2.5503654,0.93896484,"NOT_AVAILABLE",1,true,true,false,false,false,true,true,3478.976,4.4043,-0.5505,126.1633,0.8572,0.5634,0.3508
"Gaia DR3 65230215242484864",65230215242484864,56.65999788624264,24.191257023088024,0.8029495992486019,2.739495366775287,-9.299166888254648,0.99153346,14.759604,0.9955416,-57.11908,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5571.794,4.2103,-0.9378,1107.2975,0.3902,0.3225,0.1756
"Gaia DR3 65230558839867776",65230558839867776,56.625583966359216,24.221635702025658,1.6217090502734393,1.1090731603119375,-10.542219528009207,0.90539426,13.724492,1.0129881,4.6399126,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5559.575,4.2839,-0.8709,599.3068,0.4194,0.3458,0.1882
"Gaia DR3 65230764996027776",65230764996027776,56.56677710161743,24.189728475046618,7.399226753718945,19.60554501391406,-43.75937028293768,1.2529333,8.228746,0.44409132,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 65230764998207232",65230764998207232,56.566787224157245,24.189434810498856,7.39543822777499,20.755873830415954,-50.03176368981576,1.4792432,9.408872,0.40332794,17.248915,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 65230799357945984",65230799357945984,56.55420879944184,24.195141662208844,0.6808807714585228,2.4823566072751855,-3.592710907958645,1.0764022,15.234912,1.0915298,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,6142.806,4.177,-0.9349,1199.3848,0.9356,0.7788,0.4267
"Gaia DR3 65230833717682816",65230833717682816,56.55623594356798,24.203546684671696,0.6567767317516111,-4.942464009122085,-5.6198595147602814,1.0376757,14.979642,1.1764603,,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5746.0244,4.0444,-0.335,1192.6147,0.8997,0.7339,0.3977
"Gaia DR3 65230833717683072",65230833717683072,56.55783445603598,24.2016365559863,1.2354413934186002,5.7291089084046405,-7.609238178244203,1.097339,12.7389,1.1334839,-2.843111,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6046.1396,3.7538,-0.1963,788.2983,0.9909,0.818,0.4434
"Gaia DR3 65230833717683712",65230833717683712,56.55735779586654,24.196558630386665,7.569211412999331,16.78695474302087,-11.37070245477555,1.4890081,7.3347673,1.3483901,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 65231108595587584",65231108595587584,56.53720423861865,24.225733284081983,2.8086493353442443,2.6162100502010737,-14.060794272524769,0.97326034,14.164259,1.4618053,-6.0923443,"VARIABLE",0,true,true,false,true,false,true,true,4965.464,4.493,0.009,350.1907,0.943,0.7296,0.3876
"Gaia DR3 65231211674800256",65231211674800256,56.54359060092502,24.239544929591798,1.9844933862776561,6.760931089487179,-10.796332685831832,1.023857,16.945772,2.1082678,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,4206.0986,4.6839,-0.0193,470.2202,1.3885,0.9799,0.5334
"Gaia DR3 65231486552803328",65231486552803328,56.61376023966258,24.254800329035454,7.345983258822864,20.450350564327135,-44.64674558353142,1.0897243,7.352819,0.13436317,3.135401,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,9796.711,4.1542,-0.8127,136.4651,0.308,0.2936,0.1563
"Gaia DR3 65276772687884544",65276772687884544,56.47922254176663,24.223729971086158,6.830993138718319,20.438700248688043,-46.25544176823606,3.8334925,15.964371,3.0608845,,"NOT_AVAILABLE",0,true,false,false,false,false,false,true,,,,,,,
"Gaia DR3 65278284516368256",65278284516368256,56.491786523281874,24.23940915513802,2.439781116901799,18.50690714052738,-17.87635727496837,1.0600309,16.704704,2.0350113,,"NOT_AVAILABLE",0,true,false,false,false,false,true,true,3709.7898,4.4153,-1.0237,382.1844,0.7551,0.5268,0.2868
